Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	2.065760
1	CPI Rate	2.120064
1	Average CPU Frequency	2645206053.987309
1	Total Thread Count	16
0	Effective Physical Core Utilization	27.8% (5.567 out of 20)
1	Effective Logical Core Utilization	13.8% (5.537 out of 40)
0	Memory Bound	67.9
1	Cache Bound	44.4
1	DRAM Bound	N/A with HT on
2	DRAM Bandwidth Bound	0.0
1	NUMA: % of Remote Accesses	0.0
1	Bandwidth Utilization	
1	Bandwidth Domain	Platform Maximum	Observed Maximum	Average	% of Elapsed Time with High BW Utilization(%)
1	DRAM, GB/sec	118.000000	15.700000	3.078770	0.0
1	DRAM Single-Package, GB/sec	59.000000	14.800000	3.136860	0.0
0	Collection and Platform Info	
1	Application Command Line	/home/users/dhamorim/pagerank-openmp/pagerank "-f" "/home/users/dhamorim/pagerank-openmp/data/web-Stanford/web-Stanford.txt" 
1	Operating System	6.1.0-28-amd64 12.12
1	Computer Name	hype1
1	Result Size	7234139
1	Collection start time	02:03:25 06/10/2025 UTC
1	Collection stop time	02:03:27 06/10/2025 UTC
1	Collector Type	Driverless Perf per-process sampling
1	CPU	
2	Name	Intel(R) Xeon(R) E5/E7 v3 Processor code named Haswell
2	Frequency	2297337831
2	Logical CPU Count	40
2	Max DRAM Single-Package Bandwidth	59000000000.000000
